age,gender,year,deaths,crude_rate_per_100k,population,RIDAGEYR,RIAGENDR,SEQN,BMXWT,BMXHT,BMXBMI,BMXLEG,BMXARML,BMXARMC,BMXWAIST,BPXSY1,BPXDI1,BPXSY2,BPXDI2,BPXSY3,BPXDI3,LBXTR,LBDTRSI,LBDLDL,LBDLDLSI,LBXTC,LBDTCSI,LBXGLU,LBXGH,LBDHDDSI,LBDHDD,LBDGLUSI,bpsx_mean,bpdi_mean,RIDRETH1_1.0,RIDRETH1_2.0,RIDRETH1_3.0,RIDRETH1_4.0,RIDRETH1_5.0,RIDRETH1_nan,DMDEDUC2_1.0,DMDEDUC2_2.0,DMDEDUC2_3.0,DMDEDUC2_4.0,DMDEDUC2_5.0,DMDEDUC2_7.0,DMDEDUC2_9.0,DMDEDUC2_nan,SMQ020_1.0,SMQ020_2.0,SMQ020_7.0,SMQ020_9.0,SMQ020_nan,cluster_kmeans,cluster_hierarchical,cluster_dbscan
12.0,1,2005,417.0,19.054617453145458,2187680.5,12.0,1,81,51.6246913580247,156.0888888888889,20.93641975308642,38.18227848101266,33.835,25.2175,74.2679012345679,108.0,55.2112676056338,106.63333333333334,56.333333333333336,107.2156862745098,55.450980392156865,73.53623188405797,0.8303043478260869,86.3913043478261,2.2341304347826085,158.15942028985506,4.09,99.84507042253522,5.243661971830986,1.476231884057971,57.08695652173913,5.542366197183099,107.25108225108224,55.077922077922075,0.3580246913580246,0.0617283950617283,0.1851851851851851,0.345679012345679,0.0493827160493827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
12.0,1,2007,344.5,16.03865441644986,2147943.0,12.0,1,37,54.87777777777777,153.98611111111111,22.77972222222222,37.00285714285714,33.35142857142857,25.845714285714287,75.72571428571429,107.54285714285714,55.25714285714286,106.17647058823528,53.88235294117647,106.72727272727272,53.878787878787875,88.34482758620689,0.9974137931034484,88.65517241379311,2.2926206896551724,158.51724137931035,4.099310344827586,97.66666666666669,5.23,1.3493103448275865,52.172413793103445,5.421466666666666,106.94444444444444,54.85185185185185,0.3243243243243243,0.1081081081081081,0.2702702702702703,0.2162162162162162,0.081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
12.0,1,2009,335.0,15.841427187372512,2114302.5,12.0,1,37,51.9081081081081,155.25945945945946,21.206756756756757,37.3027027027027,33.53243243243244,25.72972972972973,74.87567567567568,103.94117647058825,54.588235294117645,104.24242424242424,53.696969696969695,104.54545454545456,54.303030303030305,74.57142857142857,0.8418857142857143,92.82857142857142,2.4005428571428573,165.94285714285715,4.292,93.11428571428571,5.202857142857143,1.5042857142857142,58.17142857142857,5.1686000000000005,103.67619047619048,54.32380952380952,0.3243243243243243,0.1081081081081081,0.3783783783783784,0.1081081081081081,0.081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
12.0,1,2011,316.5,15.035151906347338,2104934.0,12.0,1,41,55.52682926829268,156.55121951219513,22.33170731707317,38.060526315789474,34.0,26.923076923076923,77.89473684210526,107.67567567567568,53.83783783783784,107.5,51.22222222222222,107.4054054054054,51.78378378378378,66.97142857142858,0.7560571428571429,89.14285714285714,2.3052571428571427,156.6,4.049714285714286,93.97142857142858,5.251428571428572,1.3985714285714286,54.08571428571429,5.216314285714286,107.4054054054054,52.32432432432432,0.1463414634146341,0.1463414634146341,0.3170731707317073,0.2926829268292683,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
12.0,1,2013,312.5,14.621160694310388,2137969.5,12.0,1,56,49.38035714285714,156.13214285714284,20.094642857142855,38.232692307692304,33.84423076923077,25.08653846153846,72.0673076923077,105.26530612244898,51.673469387755105,103.45833333333331,49.416666666666664,104.96,48.6,71.12244897959184,0.8029591836734694,85.40816326530613,2.208734693877551,159.3877551020408,4.121224489795918,98.75,5.348979591836735,1.546326530612245,59.775510204081634,5.481541666666666,104.53333333333336,50.28,0.1964285714285714,0.0892857142857142,0.3214285714285714,0.3214285714285714,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
12.0,1,2015,301.5,14.47595917701308,2083011.5,12.0,1,34,47.88529411764706,153.99411764705883,20.03235294117647,37.52727272727273,33.17878787878788,24.357575757575756,71.1909090909091,105.6774193548387,53.806451612903224,106.0,55.75,105.5483870967742,55.54838709677419,50.55,0.5707500000000001,80.35,2.0779,150.2608695652174,3.886086956521739,97.96,5.308,1.5378260869565217,59.43478260869565,5.436,105.625,54.875,0.1470588235294117,0.088235294117647,0.3529411764705882,0.2647058823529412,0.1470588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
12.0,1,2017,348.0,16.46230245643286,2113662.5,12.0,1,25,49.036,154.46,20.352,37.316,33.696,24.696,72.928,106.0909090909091,58.36363636363637,107.1304347826087,58.78260869565217,105.7391304347826,59.04347826086956,70.08,0.7911199999999999,92.88,2.40188,164.52,4.2544,97.76,5.352,1.4932,57.72,5.4264,106.28985507246377,58.927536231884055,0.2,0.12,0.28,0.12,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
13.0,1,2005,531.5,23.98382604750983,2216148.0,13.0,1,66,56.75151515151515,162.21212121212122,21.264545454545456,39.91230769230769,35.096923076923076,26.144615384615385,75.77230769230769,108.79310344827586,55.44827586206897,109.4,54.68,108.51063829787236,55.234042553191486,84.703125,0.956265625,88.0625,2.27728125,161.421875,4.1746875,94.453125,5.240625,1.4584375,56.390625,5.242984375,108.65079365079364,54.20634920634921,0.2727272727272727,0.0,0.2424242424242424,0.4393939393939394,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
13.0,1,2007,465.0,21.42462254562965,2170413.0,13.0,1,30,63.406666666666666,162.27666666666667,24.036333333333335,39.251724137931035,35.62413793103448,28.379310344827587,82.43103448275862,110.08,56.64,109.55555555555556,56.07407407407408,110.08,57.68,92.42857142857144,1.0435,88.85714285714286,2.297857142857143,158.39285714285714,4.096071428571428,100.03571428571428,5.167857142857143,1.3203571428571428,51.07142857142857,5.553,110.03448275862068,57.72413793103448,0.2,0.1333333333333333,0.2666666666666666,0.2666666666666666,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
13.0,1,2009,429.0,20.032251257712023,2141357.5,13.0,1,44,56.10227272727273,163.23409090909092,20.85363636363636,39.27272727272727,35.04318181818182,26.25,73.46818181818182,108.23255813953487,53.2093023255814,108.74418604651164,53.72093023255814,108.61904761904762,51.523809523809526,69.5,0.7846315789473683,79.6842105263158,2.0606315789473686,151.10526315789474,3.9073684210526314,95.05,5.279999999999999,1.4878947368421052,57.526315789473685,5.2761000000000005,108.4108527131783,52.937984496124024,0.2045454545454545,0.1136363636363636,0.3863636363636363,0.2045454545454545,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
